threads,median_ms,mean_ms,stdev_ms,cv_pct,speedup,efficiency
1,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
2,4.000000,5.800000,4.868265,83.935596,0.250000,0.125000
3,2.000000,4.600000,6.949820,151.083047,0.500000,0.166667
4,16.000000,14.000000,3.741657,26.726124,0.062500,0.015625
8,3.000000,4.000000,2.645751,66.143783,0.333333,0.041667
16,4.000000,3.800000,1.483240,39.032624,0.250000,0.015625
32,5.000000,5.400000,1.673320,30.987408,0.200000,0.006250
64,10.000000,10.600000,2.190890,20.668776,0.100000,0.001563
128,14.000000,15.800000,3.834058,24.266189,0.071429,0.000558
256,32.000000,34.200000,5.215362,15.249596,0.031250,0.000122
512,29.000000,29.800000,1.303840,4.375304,0.034483,0.000067
1024,77.000000,72.000000,8.916277,12.383718,0.012987,0.000013
